date,d-4,d-3,d-2,d-1,real,cate
2022-04-10,191.7,190.3,190.2,189.9,192.7,2
2022-04-11,190.3,190.2,189.9,192.7,192.7,0
2022-04-12,190.2,189.9,192.7,192.7,192.7,0
2022-04-13,189.9,192.7,192.7,192.7,192.7,0
2022-04-14,192.7,192.7,192.7,192.7,192.7,0
2022-04-15,192.7,192.7,192.7,192.7,196.7,2
2022-04-16,192.7,192.7,192.7,196.7,195.0,1
2022-04-17,192.7,192.7,196.7,195.0,188.9,1
2022-04-18,192.7,196.7,195.0,188.9,187.9,0
2022-04-19,196.7,195.0,188.9,187.9,187.9,0
2022-04-20,195.0,188.9,187.9,187.9,187.9,0
2022-04-21,188.9,187.9,187.9,187.9,193.0,2
2022-04-22,187.9,187.9,187.9,193.0,188.0,1
2022-04-23,187.9,187.9,193.0,188.0,192.2,2
2022-04-24,187.9,193.0,188.0,192.2,192.0,0
2022-04-25,193.0,188.0,192.2,192.0,184.7,1
2022-04-26,188.0,192.2,192.0,184.7,184.7,0
